member_id,age,country,balance,lead_score
MEM_09292,74,Germany,186445.31,0.9999972722580227
MEM_00657,54,Germany,131039.97,0.9999970736784907
MEM_00007,29,Germany,115046.74,0.9999970423682912
MEM_00859,64,France,0.0,0.9999970132507457
MEM_02061,38,Germany,119413.62,0.9999970093588741
MEM_02793,23,Germany,184244.86,0.9999969848854224
MEM_01747,34,Germany,74309.81,0.9999969484188024
MEM_04965,36,France,148795.17,0.9999968679128738
MEM_02878,36,Spain,140137.15,0.999996840943519
MEM_03651,79,France,61811.23,0.9999968345165494
MEM_07784,64,France,69311.16,0.9999968259547802
MEM_02390,32,Germany,184715.86,0.9999968010419042
MEM_08108,35,Germany,126803.34,0.9999967935793842
MEM_02495,56,Germany,111920.13,0.999996790835228
MEM_05257,31,Germany,141069.18,0.9999967868573197
MEM_06394,41,Germany,152102.18,0.9999967781530661
MEM_04754,59,France,0.0,0.9999967753350208
MEM_06872,27,France,43658.33,0.9999967741142723
MEM_06254,37,Germany,135650.88,0.9999967671750702
MEM_03359,60,Spain,0.0,0.9999967498532084
MEM_04210,28,Spain,109161.25,0.9999967409747894
MEM_08845,39,Germany,131513.26,0.9999967351478238
MEM_03080,28,Spain,0.0,0.9999967346926047
MEM_09545,57,Spain,0.0,0.9999967178129382
MEM_03138,60,France,0.0,0.9999967126905884
MEM_07138,66,Germany,135392.31,0.9999966738892693
MEM_05234,41,France,143443.61,0.9999966706998591
MEM_09037,41,Germany,104584.11,0.9999966570230636
MEM_07206,47,Germany,131160.85,0.9999966298666816
MEM_06716,29,Spain,151012.55,0.9999966096399084
MEM_01123,33,Germany,158456.76,0.9999966041537426
MEM_08552,22,France,76318.64,0.9999965885964378
MEM_09363,35,Spain,0.0,0.999996587115817
MEM_00363,29,Germany,99027.61,0.9999965785914654
MEM_00439,42,Germany,85679.25,0.9999965765756301
MEM_00630,61,France,0.0,0.9999965625343293
MEM_01833,32,Germany,130627.66,0.9999965619794283
MEM_05242,40,Germany,81954.6,0.9999965489406204
MEM_04568,32,Germany,40172.91,0.9999965482267786
MEM_08044,23,France,0.0,0.9999965337596575
MEM_04078,47,Spain,0.0,0.9999965333669779
MEM_05157,50,Spain,158633.61,0.9999965268282598
MEM_03405,60,France,0.0,0.9999965264913423
MEM_02553,71,Spain,0.0,0.9999965226635998
MEM_04668,31,France,145056.59,0.9999965225015479
MEM_03048,37,Spain,136689.66,0.999996522406337
MEM_00909,25,Spain,0.0,0.9999964907960996
MEM_06704,45,Germany,104339.11,0.9999964860717657
MEM_07255,32,France,148326.09,0.9999964810311486
MEM_06682,29,Spain,197200.04,0.9999964771791718
MEM_06653,23,Germany,197715.93,0.9999964707973814
MEM_03947,61,France,73688.2,0.9999964704838439
MEM_01303,32,Germany,134096.53,0.9999964636835428
MEM_02448,28,Germany,124023.18,0.99999645787519
MEM_01479,32,Germany,131081.66,0.9999964522753397
MEM_07264,33,Spain,0.0,0.9999964451688655
MEM_06674,36,France,112262.84,0.999996431776575
MEM_04659,50,Germany,102278.79,0.9999964303039913
MEM_03229,66,France,0.0,0.9999964283158532
MEM_03561,31,Germany,125837.86,0.9999964266885267
MEM_01342,71,Spain,0.0,0.9999964258321679
MEM_01439,65,France,0.0,0.9999964231974929
MEM_00673,32,Spain,118879.35,0.9999964214662351
MEM_08017,50,Germany,109387.9,0.9999964174764017
MEM_04416,42,France,164951.56,0.9999964157977287
MEM_02112,28,Spain,0.0,0.9999964152202047
MEM_07795,44,Germany,84386.57,0.9999964144426098
MEM_03272,59,France,0.0,0.9999964123163383
MEM_09432,28,Germany,171932.26,0.9999964122933007
MEM_04462,32,Spain,0.0,0.9999964117219612
MEM_09071,44,Germany,151739.65,0.9999964115298879
MEM_04642,25,Germany,136202.78,0.9999964106974905
MEM_01141,40,France,190008.32,0.9999964065887222
MEM_07020,28,France,0.0,0.9999964064099238
MEM_07362,73,France,66573.17,0.9999964060724302
MEM_00262,32,France,184686.41,0.9999964056227234
MEM_03745,37,Germany,93124.04,0.9999964046380679
MEM_02261,61,Germany,66101.89,0.9999964015565758
MEM_03018,27,France,0.0,0.9999964002317651
MEM_09337,47,Germany,102085.72,0.9999964000389493
MEM_02085,28,Germany,185013.02,0.9999963973454611
MEM_05948,35,Germany,131504.73,0.9999963927128076
MEM_07747,24,France,0.0,0.9999963882208088
MEM_04679,35,Spain,0.0,0.9999963878725617
MEM_02332,29,France,156569.43,0.9999963753614661
MEM_01241,21,France,146329.57,0.9999963746445721
MEM_08065,49,Germany,137115.16,0.9999963741436256
MEM_09722,36,France,0.0,0.9999963736050919
MEM_06421,23,France,73112.95,0.9999963733996174
MEM_05535,32,Germany,157138.99,0.9999963715818672
MEM_09860,30,France,191091.74,0.9999963686815807
MEM_01840,34,Spain,76001.57,0.9999963641871394
MEM_07437,29,France,71996.29,0.9999963639254833
MEM_00267,36,France,0.0,0.9999963586684071
MEM_02993,59,Spain,0.0,0.9999963578027695
MEM_06064,23,France,0.0,0.9999963530203053
MEM_07236,34,Spain,0.0,0.9999963524323111
MEM_03421,39,France,117704.73,0.9999963517736339
MEM_06253,34,Germany,106011.59,0.9999963508637775
MEM_03159,23,France,131254.81,0.9999963485646645
