member_id,age,country,balance,lead_score
MEM_04901,59,France,178058.06,0.9142492256563016
MEM_07933,70,France,97072.42,0.8778132216967083
MEM_03270,33,France,118004.26,0.8723920836188281
MEM_04017,46,France,180226.24,0.87086259268619
MEM_00669,42,France,176099.13,0.8684391589142357
MEM_08813,26,Germany,123126.29,0.8674331653913121
MEM_01001,43,France,0.0,0.8666449571799774
MEM_03769,47,France,156265.31,0.8653873599026328
MEM_09935,28,Germany,160454.15,0.8630744144872097
MEM_09082,36,France,180169.44,0.8611195361136966
MEM_05062,41,Germany,84622.13,0.8606489040840838
MEM_08951,23,Germany,98775.23,0.8570530844148745
MEM_07961,38,France,154763.21,0.8547049476852545
MEM_09879,62,Germany,118356.89,0.8533436156617021
MEM_01981,69,Spain,105303.73,0.8516730918823157
MEM_08256,58,Spain,178713.98,0.8478791584071659
MEM_05586,25,Germany,150355.35,0.8473855537454796
MEM_09954,45,France,155417.61,0.8449636271071376
MEM_08982,32,France,206663.75,0.8434634791054242
MEM_01192,61,Spain,129855.72,0.8408945309114396
MEM_08965,58,Germany,145984.92,0.8407167019234666
MEM_02452,29,France,139994.66,0.8394320745377686
MEM_00118,31,Germany,107818.63,0.8375759733773909
MEM_04992,62,France,123681.32,0.8370013544349278
MEM_04161,43,France,176134.54,0.8367847764002576
MEM_02159,72,France,140997.26,0.8365826574045543
MEM_00998,28,Germany,167738.82,0.8354634840473979
MEM_00510,31,Germany,67238.98,0.8350003702296784
MEM_05114,60,France,185648.56,0.834970545514321
MEM_00376,45,Germany,117231.63,0.8336070483655847
MEM_05439,61,Germany,149525.34,0.8327415053839023
MEM_04166,45,Spain,174088.3,0.8327245820636697
MEM_02651,40,Germany,166082.15,0.8315038844754301
MEM_01652,59,France,153861.1,0.8305790941254534
MEM_04463,70,Germany,96947.58,0.8305272720018956
MEM_03715,46,Germany,89087.89,0.830271732250382
MEM_00358,41,France,101960.74,0.8292887941922407
MEM_01078,41,Germany,146720.98,0.8289196229758414
MEM_04215,53,France,158271.74,0.8258958770457903
MEM_04276,32,Germany,102954.68,0.8255164080545851
MEM_01281,46,Spain,182364.53,0.8244832202770204
MEM_08684,27,Germany,111348.15,0.8242636603409379
MEM_00491,41,France,156067.05,0.823398494020631
MEM_03033,85,France,0.0,0.8232025775205044
MEM_07494,36,France,151844.64,0.8195606112028622
MEM_00754,39,Spain,166733.92,0.8188189051424193
MEM_03100,35,Germany,96814.46,0.8179526389826517
MEM_01768,28,Spain,141038.57,0.8167301356081779
MEM_09636,40,Germany,139973.65,0.8152708194055457
MEM_03699,37,France,185063.7,0.8147852254940708
MEM_03631,19,Spain,89750.21,0.8138758657579266
MEM_06717,58,Spain,216109.88,0.8124125442107896
MEM_09145,45,Spain,112994.65,0.8123762076459253
MEM_03728,66,Spain,115654.47,0.8121483536305573
MEM_07460,30,Germany,143138.91,0.811416080290435
MEM_08469,71,France,183135.39,0.8110546276962276
MEM_07866,38,France,127043.09,0.8108485820710073
MEM_09359,43,Germany,140121.17,0.8106773753684009
MEM_03553,40,Spain,104784.23,0.8091037827954042
MEM_04071,54,Spain,120952.74,0.8089699681552394
MEM_07884,36,France,188455.19,0.8068705265926085
MEM_02683,23,Spain,143054.85,0.8067017073289621
MEM_09009,54,Germany,156367.6,0.8065165635247701
MEM_06618,29,Germany,97325.15,0.806314939263312
MEM_01285,63,Spain,162278.32,0.8062280894311994
MEM_08230,32,Germany,162657.64,0.805149118810637
MEM_01305,52,Germany,76915.4,0.8049154967814975
MEM_01179,31,Germany,93460.47,0.8040581124732531
MEM_00061,27,Germany,152328.88,0.8037838515385339
MEM_09780,40,Germany,109003.26,0.803175195651064
MEM_00598,57,Germany,162448.69,0.8029991347312161
MEM_03787,27,Germany,135096.05,0.8024717650711858
MEM_09940,20,France,0.0,0.8019785462773175
MEM_03580,41,Germany,98635.77,0.8016074437836362
MEM_02493,23,Spain,98052.66,0.8012263546004044
MEM_08870,42,France,187534.79,0.8010184871280852
MEM_06985,32,France,0.0,0.8008444091538134
MEM_01430,29,France,82344.84,0.7995422925532518
MEM_06314,41,France,76319.64,0.7993291625142498
MEM_00284,22,France,174185.98,0.7980777530859118
MEM_07216,41,France,147726.98,0.7971060431157477
MEM_01466,29,France,169988.35,0.7966458141613557
MEM_06184,48,Spain,178144.91,0.7964114958192344
MEM_02838,36,Spain,155180.56,0.7963756591695651
MEM_05084,49,France,142767.39,0.7962802602165343
MEM_01331,37,Germany,143452.74,0.7958759806759554
MEM_01838,39,Germany,109733.2,0.795796781944117
MEM_07213,55,Germany,149349.58,0.7957240686702641
MEM_02752,31,Spain,185078.26,0.7955794871345893
MEM_06650,41,Germany,79857.64,0.7954410800049665
MEM_05266,31,France,117799.28,0.7952067522615651
MEM_08714,41,France,109941.51,0.794047841791338
MEM_00313,59,Germany,135296.33,0.7939372235270207
MEM_06956,49,France,180614.04,0.7937760906032552
MEM_04303,56,Spain,154669.77,0.7934696766828158
MEM_03691,76,France,160979.68,0.7934655225158977
MEM_08268,42,Germany,74483.97,0.791967217152421
MEM_04286,42,France,156555.54,0.7919636063053708
MEM_08530,33,France,103516.87,0.791545201266543
MEM_03381,49,France,106770.82,0.7901952586334244
