member_id,age,country,balance,lead_score
MEM_02421,25,Germany,158266.42,0.950369827330042
MEM_04417,27,Spain,153325.1,0.9137093890052735
MEM_01513,42,France,0.0,0.8981580791684267
MEM_04563,64,Germany,153469.26,0.8952962504083677
MEM_06902,44,Spain,0.0,0.8923548247145451
MEM_08359,22,Spain,0.0,0.8796815464052508
MEM_05197,71,France,0.0,0.8764931713548987
MEM_09278,35,France,161111.45,0.8749549638006956
MEM_09506,69,France,0.0,0.87462697009776
MEM_00997,62,Spain,121286.27,0.8743308989636926
MEM_07848,49,France,0.0,0.8731155866653831
MEM_03490,29,France,0.0,0.8718522101608762
MEM_09438,63,Germany,120916.52,0.8703120686378288
MEM_01585,33,France,93791.38,0.8661832668411984
MEM_01993,60,Germany,134250.17,0.8647284592031012
MEM_04335,64,Spain,0.0,0.8634746806730024
MEM_01705,35,France,148172.44,0.8629198750883402
MEM_02118,27,France,0.0,0.8628522346163036
MEM_04010,66,Spain,0.0,0.8621279715221823
MEM_04747,64,Spain,0.0,0.8612775139484175
MEM_05947,45,France,145933.27,0.8606451942575845
MEM_01901,67,Spain,0.0,0.8604596270043673
MEM_02977,45,Spain,131355.3,0.8599970789617305
MEM_01302,31,France,0.0,0.8563891797495434
MEM_04849,70,Germany,148745.92,0.8563849847628208
MEM_07994,21,Germany,151701.45,0.8562751661061571
MEM_01278,67,Spain,0.0,0.8558527169810706
MEM_08304,69,France,0.0,0.8552010942284264
MEM_06184,48,Spain,178144.91,0.8532006964483353
MEM_05585,38,Germany,135559.8,0.8517397172346767
MEM_00818,27,Spain,75263.16,0.851331060769126
MEM_00764,43,Germany,140080.32,0.8511680095868247
MEM_05915,47,France,198546.1,0.850083496344086
MEM_03384,66,France,0.0,0.8457428938067926
MEM_07804,59,Germany,122471.09,0.8449645490389505
MEM_08469,71,France,183135.39,0.8448529511489764
MEM_02900,26,Spain,148610.41,0.8444407398176149
MEM_01788,43,France,0.0,0.8442716884385091
MEM_06721,77,Germany,27517.15,0.8442449583458324
MEM_05087,43,Spain,0.0,0.8429805170795095
MEM_03378,72,Germany,94216.05,0.8423473475782934
MEM_03317,71,France,0.0,0.8409556972185029
MEM_07151,34,France,0.0,0.840562183516969
MEM_01246,66,France,0.0,0.8392066899390397
MEM_04387,67,Spain,0.0,0.8387198688541584
MEM_09324,71,Germany,142550.25,0.8383101877009922
MEM_07601,31,France,0.0,0.8378692518935975
MEM_06152,64,France,0.0,0.8370294675274933
MEM_03615,46,France,134950.19,0.8367931682447733
MEM_03841,60,France,120731.39,0.8347067858097583
MEM_09357,46,France,0.0,0.8336534610722225
MEM_04099,34,France,150856.79,0.83306608477487
MEM_06007,28,France,75381.15,0.8328989698590575
MEM_00957,67,Spain,0.0,0.8321176632003853
MEM_03789,45,Spain,89122.3,0.8320994499035397
MEM_02171,58,Germany,190298.89,0.8320326405998422
MEM_08855,43,Spain,128226.37,0.8318481953165124
MEM_02154,65,Germany,126306.64,0.8312796522741913
MEM_02580,38,Germany,132591.36,0.8308905652340532
MEM_06443,92,France,121513.31,0.8283437002363336
MEM_00850,46,Germany,170826.55,0.8276286261581272
MEM_02703,46,Germany,110356.42,0.8270908173856902
MEM_06089,27,France,0.0,0.826716904247186
MEM_01621,38,Spain,75075.14,0.8265748546548551
MEM_02060,38,Spain,146282.79,0.8256348885811212
MEM_07439,27,France,62339.81,0.8255486188270542
MEM_05132,66,France,0.0,0.8237288056753531
MEM_00058,66,Spain,0.0,0.8234033410487491
MEM_09018,67,France,0.0,0.8227862488055038
MEM_04888,49,France,111634.29,0.8205638371085195
MEM_08432,47,France,121797.09,0.8195376414525904
MEM_03192,66,Spain,0.0,0.8181116261793446
MEM_03728,66,Spain,115654.47,0.8179223099715073
MEM_06545,27,Spain,0.0,0.8178083184434037
MEM_02562,58,France,187911.55,0.8160870057360529
MEM_04297,68,Spain,0.0,0.8159568977953777
MEM_07913,24,Germany,143221.35,0.8157089354734903
MEM_00371,75,Germany,106307.91,0.8152360468698449
MEM_02476,38,Germany,61482.47,0.8134771446567455
MEM_08647,43,France,0.0,0.8126046292318363
MEM_04360,66,France,0.0,0.8116565748524132
MEM_09895,56,Germany,127585.98,0.8109702549765514
MEM_03611,21,France,166883.07,0.8099793231320744
MEM_01072,23,Spain,0.0,0.8098833834396737
MEM_04032,38,France,0.0,0.8073088079506212
MEM_03263,43,France,0.0,0.8069909979692329
MEM_04801,71,France,149105.08,0.8069356664994817
MEM_09059,34,Germany,91025.58,0.8059158530472132
MEM_02706,22,France,149777.0,0.8058817384782084
MEM_05535,32,Germany,157138.99,0.805378566823507
MEM_03042,29,Germany,130420.2,0.8050770025302892
MEM_03948,58,Spain,122330.7,0.8018556623388562
MEM_07304,58,Germany,125850.53,0.8010212115621088
MEM_09582,62,France,118756.62,0.8008102196801044
MEM_02250,20,Spain,0.0,0.800653852975503
MEM_01135,31,Germany,157791.07,0.7999365638159951
MEM_00586,53,Spain,170491.84,0.7990579786360861
MEM_00290,42,Germany,63227.0,0.7962664970508455
MEM_07257,47,France,139914.6,0.7960498526542478
MEM_01826,25,Germany,173459.45,0.7952440560880687
