member_id,age,country,balance,lead_score
MEM_09687,31,France,75499.24,0.9256384055377392
MEM_09340,45,France,0.0,0.9223777352546187
MEM_09408,55,France,132436.34,0.919095110690999
MEM_08561,36,Spain,109632.85,0.8916591105876319
MEM_02528,26,France,149542.52,0.8903680835134836
MEM_04656,38,France,134887.53,0.8840625180196754
MEM_08982,32,France,206663.75,0.8798021099043477
MEM_06440,47,France,148636.21,0.8790733805318
MEM_04453,33,Germany,148055.74,0.8787321867000478
MEM_05503,24,Spain,122109.78,0.8776875774580071
MEM_00617,62,Germany,140745.33,0.8762155367207741
MEM_02462,53,France,169406.33,0.8733705007330149
MEM_06503,37,Germany,170057.62,0.8731003176234088
MEM_00841,31,France,186796.37,0.8716736471245864
MEM_04216,56,France,96951.21,0.8692651165303299
MEM_02493,23,Spain,98052.66,0.8656862310014581
MEM_08576,37,France,183613.66,0.8635352327298182
MEM_09386,33,Germany,102185.42,0.8613493416812752
MEM_02053,63,France,169832.57,0.8608366454002001
MEM_07368,36,Germany,169025.83,0.8589460702967893
MEM_04104,55,France,0.0,0.8581457107409158
MEM_05472,42,Germany,126772.57,0.8579175879273974
MEM_01738,41,Spain,107525.07,0.8566319135414019
MEM_02122,32,Spain,178095.55,0.8556328598073479
MEM_08911,32,Germany,169947.41,0.8516788529900178
MEM_06691,24,Spain,143656.55,0.8515829044093084
MEM_05123,29,Spain,93833.86,0.851563816005938
MEM_04026,56,Germany,100260.88,0.8507209835183585
MEM_06164,58,Germany,170113.0,0.8485242899739599
MEM_06868,39,France,140133.08,0.8480352278370127
MEM_00747,46,Spain,177619.71,0.8465961594462335
MEM_04275,32,France,178011.5,0.8451613051559549
MEM_06985,32,France,0.0,0.845098085351433
MEM_00129,24,France,101827.07,0.8450966914988116
MEM_01827,22,Spain,169649.73,0.8450556605704532
MEM_09740,29,Germany,80204.11,0.8444823602296309
MEM_02026,23,Spain,0.0,0.8437551014601054
MEM_04994,52,Germany,167194.36,0.8434574368732537
MEM_06831,52,Germany,139493.25,0.8430398145632256
MEM_03947,61,France,73688.2,0.8425222899428368
MEM_06315,67,Spain,125919.35,0.8423565806234996
MEM_04677,48,Germany,104478.12,0.8420745919676305
MEM_06151,31,Spain,96997.09,0.8413399572950712
MEM_06143,24,Germany,122200.31,0.8405769094097358
MEM_00223,33,France,0.0,0.8399390423162324
MEM_07695,47,Germany,90450.0,0.8389019770217349
MEM_03039,26,Spain,101440.36,0.8385582187664822
MEM_08640,32,France,127661.69,0.8384571662060832
MEM_00097,29,Germany,97086.4,0.8384143700876047
MEM_00046,27,Germany,112045.67,0.8378307901872958
MEM_01820,23,Spain,124577.33,0.8376434240471096
MEM_07722,18,Germany,90544.0,0.8369835993267882
MEM_08890,49,Germany,143888.22,0.8365488506333237
MEM_02728,46,Germany,78136.36,0.835617403941078
MEM_07887,30,Germany,205770.78,0.8352111204895865
MEM_04280,62,Germany,142724.48,0.8346880720070773
MEM_08393,60,Germany,148846.39,0.8323917944944691
MEM_04888,49,France,111634.29,0.8310090849288537
MEM_08201,49,Spain,82321.88,0.8303077141597196
MEM_06982,50,France,0.0,0.8270863512974276
MEM_02395,52,France,170008.84,0.8257153991617099
MEM_01114,62,France,144976.5,0.8252261353618141
MEM_09791,35,Germany,118336.95,0.825206838129842
MEM_03094,25,Germany,174330.35,0.8248256385597635
MEM_07582,33,Germany,83555.58,0.8247109103627425
MEM_05915,47,France,198546.1,0.8243911386781249
MEM_02574,51,Germany,110610.41,0.8243666722308838
MEM_07646,32,Spain,147511.26,0.824144201303045
MEM_00751,47,Germany,95523.16,0.8239899220670955
MEM_09332,62,Germany,148214.36,0.8239820446680741
MEM_09431,24,Spain,172231.93,0.8238164230616403
MEM_05590,25,Germany,60205.2,0.8234736293270983
MEM_07748,35,Germany,119948.09,0.8226108837815819
MEM_06700,39,Spain,108935.39,0.8223730996347324
MEM_01951,53,France,144453.75,0.8219229906706772
MEM_01449,26,Germany,135067.52,0.8215427102466198
MEM_04714,23,France,93522.2,0.8214183350945197
MEM_00079,41,Germany,122189.66,0.8210227111898104
MEM_05500,47,France,97023.21,0.8195735300787624
MEM_07731,42,Germany,145177.84,0.8195411855723217
MEM_09470,28,Germany,132932.14,0.8193707723851359
MEM_00065,36,Germany,169831.46,0.8192206068590266
MEM_09927,31,France,87772.52,0.8191417562431152
MEM_08572,38,Germany,101648.5,0.8185630165551842
MEM_03630,46,France,143267.14,0.8183184424762353
MEM_09833,41,Germany,200117.76,0.8181184503665077
MEM_03101,32,Germany,160680.41,0.81810850708393
MEM_04485,34,Germany,108513.25,0.8176543694602317
MEM_02821,33,Spain,103121.33,0.8166237744973044
MEM_06422,47,France,152347.01,0.8164054423009737
MEM_03697,48,Germany,96048.55,0.815354706728994
MEM_08674,67,France,103101.56,0.8145084814747976
MEM_09671,78,Germany,68345.86,0.8138032146249384
MEM_02529,29,France,87946.39,0.8137107139038231
MEM_00498,26,Germany,121581.56,0.8132955182320165
MEM_05117,31,France,39539.39,0.8121586636180106
MEM_09930,40,Germany,166776.6,0.8109131697151456
MEM_05137,51,France,144237.91,0.8108442877066533
MEM_00520,35,France,211774.31,0.8104018200397709
MEM_03886,34,Germany,147833.3,0.8096576652427819
